icao,iata,name,city,country,lat,lng,alt
RPVG,,Guiuan Airport,Guiuan,Philippines,11.0354995728,125.741996765,7
RPVI,ILO,Iloilo International Airport,Iloilo,Philippines,10.833017,122.493358,27
RPVK,KLO,Kalibo International Airport,Kalibo,Philippines,11.679400444,122.375999451,14
RPVP,PPS,Puerto Princesa Airport,Puerto Princesa,Philippines,9.7421197891,118.7590026855,71
RPVS,,Evelio Javier Airport,San Jose,Philippines,10.765999794,121.932998657,23
SAAC,COC,Comodoro Pierrestegui Airport,Concordia,Argentina,-31.2969,-57.9966,112
SAAG,GHU,Gualeguaychu Airport,Gualeguaychu,Argentina,-33.0103,-58.6131,75
SAAJ,,Junin Airport,Junin,Argentina,-34.5459,-60.9306,262
SAAP,PRA,General Urquiza Airport,Parana,Argentina,-31.7948,-60.4804,242
SAAR,ROS,Islas Malvinas Airport,Rosario,Argentina,-32.9036,-60.785,85
SAAV,SFN,Sauce Viejo Airport,Santa Fe,Argentina,-31.7117,-60.8117,55
SABE,AEP,Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,18
SACO,COR,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,-31.323600769,-64.2080001831,1604
SACT,,Chamical Airport,Gobernador Gordillo,Argentina,-30.34530067,-66.29360198,1502
SADF,,San Fernando Airport,San Fernando,Argentina,-34.4532,-58.5896,10
SADJ,,Mariano Moreno Airport,Jose C. Paz,Argentina,-34.5606,-58.7896,105
SADL,LPG,La Plata Airport,La Plata,Argentina,-34.9722,-57.8947,72
SADM,,Moron Airport,Moron,Argentina,-34.6763,-58.6428,95
SADP,,El Palomar Airport,El Palomar,Argentina,-34.6099,-58.6126,59
SAHC,,Chos Malal Airport,Chosmadal,Argentina,-37.4446983337,-70.2225036621,2788
SAHR,,Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina,-39.0007019043,-67.6204986572,852
SAME,MDZ,El Plumerillo Airport,Mendoza,Argentina,-32.8316993713,-68.7929000854,2310
SAMM,LGS,Comodoro D.R. Salomón Airport,Malargue,Argentina,-35.493598938,-69.5743026733,4685
SAMR,AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,-34.588299,-68.4039,2470
SANC,CTC,Catamarca Airport,Catamarca,Argentina,-28.5956001282,-65.751701355,1522
SANE,SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,-27.7655563354,-64.3099975586,656
SANI,,Tinogasta Airport,Tinogasta,Argentina,-28.0377998352,-67.5802993774,3968
SANL,IRJ,Capitan V A Almonacid Airport,La Rioja,Argentina,-29.3815994263,-66.7957992554,1437
SANO,,Chilecito Airport,Chilecito,Argentina,-29.2238998413,-67.4389038086,3099
SANT,TUC,Teniente Benjamin Matienzo Airport,Tucuman,Argentina,-26.8409,-65.104897,1493
SANU,UAQ,Domingo Faustino Sarmiento Airport,San Julian,Argentina,-31.571501,-68.418198,1958
SAOC,RCU,Area De Material Airport,Rio Cuarto,Argentina,-33.0850982666,-64.2612991333,1380
SAOD,VDR,Villa Dolores Airport,Villa Dolores,Argentina,-31.9451999664,-65.1463012695,1847
SAOL,,La Quiaca Airport,Laboulaye,Argentina,-22.1506004333,-65.5774993896,11414
SAOM,,Marcos Juarez Airport,Marcos Juarez,Argentina,-32.6836,-62.1578,360
SAOR,,Villa Reynolds Airport,Villa Reynolds,Argentina,-33.7299003601,-65.3873977661,1591
SAOU,LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,-33.2732009888,-66.3563995361,2328
SARC,CNQ,Corrientes Airport,Corrientes,Argentina,-27.4455,-58.7619,202
SARE,RES,Resistencia International Airport,Resistencia,Argentina,-27.45,-59.0561,173
SARF,FMA,Formosa Airport,Formosa,Argentina,-26.2127,-58.2281,193
SARI,IGR,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,-25.7373008728,-54.473400116,916
SARL,AOL,Paso De Los Libres Airport,Paso De Los Libres,Argentina,-29.6894,-57.1521,230
SARM,,Monte Caseros Airport,Monte Caseros,Argentina,-30.2719,-57.6402,170
SARP,PSS,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,-27.3858,-55.9707,430
SASA,SLA,Martin Miguel De Guemes International Airport,Salta,Argentina,-24.8560009003,-65.4861984253,4088
SASJ,JUJ,Gobernador Horacio Guzman International Airport,Jujuy,Argentina,-24.3927993774,-65.0978012085,3019
SASO,ORA,Orán Airport,Oran,Argentina,-23.1527996063,-64.3292007446,1171
SASQ,,Laboulaye Airport,La Quiaca,Argentina,-34.1353988647,-63.3623008728,449
SATD,,El Dorado Airport,El Dorado,Argentina,-26.3974990845,-54.5746994019,685
SATG,,Goya Airport,Goya,Argentina,-29.1058,-59.2189,128
SATO,,Oberá Airport,Obera,Argentina,-27.5181999207,-55.1241989136,1125
SATR,,Reconquista Airport,Reconquista,Argentina,-29.2103,-59.68,160
SATU,,Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,-29.7706,-57.9789,229
SAVB,EHL,El Bolson Airport,El Bolson,Argentina,-41.9431991577,-71.5323028564,1141
SAVC,CRD,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,-45.7853,-67.4655,189
SAVE,EQS,Brigadier Antonio Parodi Airport,Esquel,Argentina,-42.908000946,-71.139503479,2621
SAVT,REL,Almirante Marco Andres Zar Airport,Trelew,Argentina,-43.2105,-65.2703,141
SAVV,VDM,Gobernador Castello Airport,Viedma,Argentina,-40.8692,-63.0004,20
SAVY,PMY,El Tehuelche Airport,Puerto Madryn,Argentina,-42.7592,-65.1027,427
SAWB,,Marambio Base,Marambio Base,Antarctica,-64.2382965088,-56.6307983398,760
SAWD,PUD,Puerto Deseado Airport,Puerto Deseado,Argentina,-47.7353,-65.9041,268
